URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/access-check-eligibility-in,StructureDefinition/access-submission-status-out,StructureDefinition/access-data-reporting-composition,StructureDefinition/access-align-in,StructureDefinition/access-unalign-in,StructureDefinition/access-report-data-in,StructureDefinition/access-data-reporting-bundle,StructureDefinition/access-unalign-out,StructureDefinition/access-report-data-out,StructureDefinition/access-condition,StructureDefinition/access-align-out,StructureDefinition/access-check-eligibility-out","hl7.fhir.uv.xver-r5.r4"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSAlignmentResultVS,0.9.6,draft,,ACCESSAlignmentResultVS,ACCESS Alignment Result Value Set,"This value set includes all codes from the ACCESS Alignment Result code system.","StructureDefinition/access-align-out","Internal"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSBHDiagnosisVS,0.9.6,active,,ACCESSBHDiagnosisVS,ACCESS Behavioral Health (BH) Track Qualifying Diagnoses,"This value set contains ICD-10-CM diagnosis codes that qualify a patient for the ACCESS Model Behavioral Health (BH) track. Includes depression and anxiety disorder diagnoses.","StructureDefinition/access-bh-condition","hl7.terminology.r4"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSCKMDiagnosisVS,0.9.6,active,,ACCESSCKMDiagnosisVS,ACCESS Cardio-Kidney-Metabolic (CKM) Track Qualifying Diagnoses,"This value set contains ICD-10-CM diagnosis codes that qualify a patient for the ACCESS Model Cardio-Kidney-Metabolic (CKM) track. Includes diabetes mellitus (all types), atherosclerotic cardiovascular disease (ASCVD), and chronic kidney disease (CKD stage 3) diagnoses.","StructureDefinition/access-ckm-condition","hl7.terminology.r4"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSEligibilityResultVS,0.9.6,draft,,ACCESSEligibilityResultVS,ACCESS Eligibility Result Value Set,"This value set includes all codes from the ACCESS Eligibility Result code system.","StructureDefinition/access-check-eligibility-out","Internal"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSEventTypeVS,0.9.6,draft,,ACCESSEventTypeVS,ACCESS Event Types Value Set,"This value set includes all codes from the ACCESS Event Types code system.",,"Internal"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSMSKDiagnosisVS,0.9.6,active,,ACCESSMSKDiagnosisVS,ACCESS Musculoskeletal (MSK) Track Qualifying Diagnoses,"This value set contains ICD-10-CM diagnosis codes that qualify a patient for the ACCESS Model Musculoskeletal (MSK) track. Includes osteoarthritis, other arthropathies and joint disorders, spine and structural disorders, degenerative spine disease, back pain and radiculopathy, soft tissue/tendon/bursa disorders, and peripheral nerve and plexus disorders.","StructureDefinition/access-msk-condition","hl7.terminology.r4"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSReportDataResultVS,0.9.6,draft,,ACCESSReportDataResultVS,ACCESS Report Data Result Value Set,"This value set includes all codes from the ACCESS Report Data Result code system.","StructureDefinition/access-report-data-out","Internal"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSReportTypeVS,0.9.6,draft,,ACCESSReportTypeVS,ACCESS Report Type Value Set,"This value set includes all codes from the ACCESS Report Type code system.","StructureDefinition/access-report-data-in,OperationDefinition/ReportData","Internal"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSTrackVS,0.9.6,draft,,ACCESSTrackVS,ACCESS Model Tracks Value Set,"This value set includes all codes from the ACCESS Model Tracks code system.","OperationDefinition/Align,StructureDefinition/access-check-eligibility-in,StructureDefinition/access-align-in,StructureDefinition/access-unalign-in,StructureDefinition/access-report-data-in,OperationDefinition/ReportData,OperationDefinition/CheckEligibility,OperationDefinition/Unalign","Internal"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSUnalignmentReasonVS,0.9.6,draft,,ACCESSUnalignmentReasonVS,ACCESS Unalignment Reason Value Set,"This value set includes all codes from the ACCESS Unalignment Reason code system.","StructureDefinition/access-unalign-in","Internal"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSUnalignmentResultVS,0.9.6,draft,,ACCESSUnalignmentResultVS,ACCESS Unalignment Result Value Set,"This value set includes all codes from the ACCESS Unalignment Result code system.","StructureDefinition/access-unalign-out","Internal"
https://dsacms.github.io/cmmi-access-model/ValueSet/ACCESSeCKMDiagnosisVS,0.9.6,active,,ACCESSeCKMDiagnosisVS,ACCESS Early Cardio-Kidney-Metabolic (eCKM) Track Qualifying Diagnoses,"This value set contains ICD-10-CM diagnosis codes that qualify a patient for the ACCESS Model Early Cardio-Kidney-Metabolic (eCKM) track. Includes hypertension, dyslipidemia, prediabetes, and obesity diagnoses.","StructureDefinition/access-eckm-condition","hl7.terminology.r4"
